,amount,delta,Prev_Amount,day_of_week,day,hour,time
136,50.0,21.96146990740741,10.0,5,16,15,2019-03-16 15:21:57
137,1200.0,41.01413194444444,2500.0,4,15,6,2019-03-15 06:35:27
138,580.0,0.047094907407407405,200.0,4,8,19,2019-02-08 19:36:31
139,150.0,5.66738425925926,100.0,2,6,7,2019-03-06 07:37:14
140,500.0,23.42914351851852,2500.0,3,28,7,2019-02-28 07:31:44
141,1000.0,11.663472222222222,500.0,5,16,10,2019-02-16 10:28:50
142,50.0,12.087523148148149,50.0,2,6,15,2019-03-06 15:00:56
143,100.0,15.868842592592593,400.0,2,27,4,2019-02-27 04:04:52
144,1000.0,11.126643518518518,500.0,1,5,20,2019-03-05 20:00:31
145,100.0,1.8874537037037038,150.0,1,8,7,2019-01-08 07:26:04
146,50.0,0.0025810185185185185,50.0,0,7,15,2019-01-07 15:24:33
147,330.0,3.1615046296296296,2.0,5,12,14,2019-01-12 14:42:15
148,100.0,2.4055324074074074,100.0,1,22,16,2019-01-22 16:27:40
149,1060.0,0.9415972222222222,380.0,4,8,16,2019-02-08 16:45:20
150,100.0,6.056099537037037,150.0,3,14,16,2019-02-14 16:39:08
151,100.0,0.004027777777777778,100.0,4,18,5,2019-01-18 05:05:23
152,100.0,42.11276620370371,50.0,4,1,17,2019-03-01 17:37:36
153,70.0,21.564409722222223,100.0,0,25,17,2019-03-25 17:01:59
154,100.0,2.929247685185185,200.0,2,20,15,2019-02-20 15:43:53
155,500.0,19.507800925925928,500.0,2,6,6,2019-03-06 06:37:52
156,400.0,0.9201157407407408,200.0,1,19,17,2019-02-19 17:06:59
157,1000.0,9.627719907407407,500.0,3,21,20,2019-03-21 20:04:18
158,100.0,20.078587962962963,100.0,3,21,19,2019-02-21 19:23:05
159,100.0,22.245752314814816,100.0,1,29,11,2019-01-29 11:29:57
160,50.0,3.8560416666666666,100.0,1,5,14,2019-03-05 14:14:08
161,50.0,23.168240740740742,100.0,1,5,18,2019-03-05 18:46:30
162,200.0,26.543784722222224,50.0,3,7,5,2019-03-07 05:49:59
163,5.0,7.848969907407407,5.0,4,8,14,2019-02-08 14:34:08
164,10.0,2.0956712962962962,2.0,2,9,8,2019-01-09 08:21:43
165,88.0,19.37990740740741,100.0,0,11,14,2019-03-11 14:32:37
166,100.0,5.980972222222222,100.0,2,6,5,2019-02-06 05:29:09
167,180.0,37.91099537037037,180.0,3,14,11,2019-02-14 11:11:49
168,50.0,35.97170138888889,50.0,1,26,16,2019-02-26 16:26:25
169,200.0,25.926319444444445,100.0,2,6,4,2019-03-06 04:13:53
170,10.0,0.9696643518518518,34.0,4,22,16,2019-03-22 16:20:19
171,500.0,27.090138888888887,500.0,0,11,14,2019-03-11 14:50:56
172,50.0,30.215416666666666,100.0,1,12,20,2019-02-12 20:56:31
173,100.0,8.133831018518519,100.0,5,23,16,2019-02-23 16:20:09
174,200.0,1.1936689814814814,100.0,6,24,16,2019-02-24 16:58:12
175,13.0,9.053668981481481,50.0,3,17,17,2019-01-17 17:59:21
176,200.0,35.71289351851852,150.0,0,18,3,2019-02-18 03:46:06
177,100.0,12.459039351851851,100.0,4,8,21,2019-02-08 21:32:24
178,100.0,0.9853703703703703,100.0,4,1,16,2019-03-01 16:23:04
179,100.0,29.71528935185185,100.0,0,11,4,2019-02-11 04:02:03
180,250.0,35.267048611111115,300.0,6,10,18,2019-03-10 18:54:45
181,200.0,48.10547453703704,200.0,3,21,12,2019-03-21 12:45:43
182,100.0,23.010405092592592,50.0,6,17,16,2019-03-17 16:28:00
183,150.0,13.998495370370371,130.0,5,9,16,2019-02-09 16:39:20
184,100.0,5.7370833333333335,100.0,6,10,11,2019-03-10 11:58:32
185,20.0,0.0024305555555555556,25.0,0,7,2,2019-01-07 02:44:04
186,300.0,55.40416666666667,50.0,1,5,16,2019-03-05 16:50:41
187,50.0,3.998287037037037,40.0,4,22,17,2019-02-22 17:58:32
188,50.0,1.066712962962963,20.0,1,8,19,2019-01-08 19:54:45
189,100.0,6.895300925925926,100.0,4,15,11,2019-02-15 11:55:00
190,900.0,59.505451388888886,1000.0,0,18,5,2019-03-18 05:34:43
191,20.0,1.2898263888888888,5.0,2,13,16,2019-02-13 16:46:42
192,20.0,0.5266550925925926,50.0,0,25,17,2019-02-25 17:11:03
193,50.0,2.9919675925925926,50.0,5,16,16,2019-02-16 16:06:22
194,500.0,18.59630787037037,300.0,0,18,19,2019-02-18 19:17:54
195,100.0,1.3203587962962964,20.0,0,4,4,2019-03-04 04:52:10
196,50.0,4.026805555555556,50.0,3,28,16,2019-02-28 16:13:05
197,400.0,41.04744212962963,450.0,2,27,16,2019-02-27 16:26:14
198,300.0,50.72506944444444,300.0,6,24,10,2019-03-24 10:01:02
199,130.0,4.4810995370370375,100.0,3,7,17,2019-03-07 17:47:58
200,480.0,60.939594907407404,600.0,6,24,16,2019-03-24 16:19:54
201,1.0,20.964872685185185,50.0,4,15,16,2019-03-15 16:56:08
202,50.0,63.601469907407406,50.0,1,26,7,2019-03-26 07:00:12
203,100.0,48.02260416666667,100.0,2,6,9,2019-03-06 09:19:51
204,20.0,21.062800925925927,50.0,4,22,16,2019-02-22 16:26:48
205,150.0,2.950763888888889,100.0,1,15,15,2019-01-15 15:41:45
206,100.0,9.745162037037037,100.0,2,16,6,2019-01-16 06:36:52
207,100.0,0.0034837962962962965,100.0,2,6,17,2019-02-06 17:13:57
208,200.0,1.7159027777777778,100.0,0,18,10,2019-03-18 10:17:28
209,300.0,26.25204861111111,400.0,3,7,18,2019-03-07 18:39:30
210,200.0,3.088738425925926,600.0,4,8,16,2019-02-08 16:59:45
211,200.0,1.9190740740740742,260.0,2,23,5,2019-01-23 05:21:09
212,200.0,53.72188657407408,500.0,5,23,8,2019-03-23 08:29:55
213,200.0,56.108391203703704,200.0,6,17,19,2019-03-17 19:00:20
214,50.0,1.0531828703703703,90.0,0,25,17,2019-03-25 17:10:52
215,50.0,15.206261574074073,50.0,4,1,16,2019-02-01 16:36:31
216,100.0,5.032986111111111,100.0,1,12,15,2019-03-12 15:40:14
217,50.0,3.521701388888889,50.0,0,14,4,2019-01-14 04:59:58
218,100.0,0.003738425925925926,100.0,4,1,9,2019-03-01 09:29:08
219,56.0,4.049942129629629,50.0,3,28,8,2019-02-28 08:25:35
220,100.0,5.041701388888889,100.0,6,13,17,2019-01-13 17:10:28
221,150.0,0.002939814814814815,200.0,6,17,11,2019-03-17 11:14:43
222,100.0,25.921388888888888,300.0,2,27,17,2019-02-27 17:46:01
223,100.0,0.0034953703703703705,100.0,5,19,17,2019-01-19 17:49:37
224,100.0,2.841261574074074,100.0,0,25,12,2019-03-25 12:16:47
225,1.0,1.0591782407407409,50.0,5,2,19,2019-03-02 19:05:03
226,370.0,26.61228009259259,470.0,2,13,5,2019-02-13 05:29:53
227,60.0,3.3231712962962963,50.0,5,23,15,2019-03-23 15:17:14
228,125.0,1.7313194444444444,95.0,6,27,11,2019-01-27 11:57:26
229,9.0,52.011435185185185,94.0,3,21,15,2019-03-21 15:38:20
230,30.0,12.038553240740741,5.0,5,26,19,2019-01-26 19:28:50
231,50.0,3.0997569444444446,50.0,5,16,15,2019-03-16 15:35:23
232,550.0,2.9375810185185185,550.0,6,20,13,2019-01-20 13:38:22
233,100.0,30.308541666666667,100.0,1,26,17,2019-02-26 17:59:32
234,100.0,18.32263888888889,300.0,4,25,3,2019-01-25 03:38:12
235,1000.0,4.934282407407407,1000.0,5,23,6,2019-02-23 06:33:36
236,200.0,36.127546296296295,203.0,0,25,18,2019-03-25 18:09:20
237,150.0,20.54869212962963,200.0,5,2,17,2019-03-02 17:34:34
238,500.0,10.02605324074074,1000.0,5,16,13,2019-02-16 13:00:57
239,20.0,0.2591203703703704,20.0,3,21,18,2019-03-21 18:31:42
240,700.0,7.88787037037037,500.0,3,7,9,2019-02-07 09:12:26
241,100.0,9.593553240740741,100.0,2,6,7,2019-03-06 07:08:24
242,100.0,3.6474189814814815,100.0,1,19,8,2019-03-19 08:02:50
243,50.0,12.001331018518519,10.0,4,15,10,2019-03-15 10:34:39
244,30.0,0.15796296296296297,50.0,6,24,17,2019-02-24 17:32:36
245,150.0,29.93539351851852,250.0,1,12,16,2019-03-12 16:26:26
246,50.0,5.068576388888889,100.0,1,5,17,2019-02-05 17:53:30
247,200.0,16.963657407407407,50.0,5,2,16,2019-02-02 16:00:40
248,100.0,5.683356481481481,100.0,1,12,16,2019-02-12 16:27:04
249,150.0,1.0974189814814814,50.0,2,13,6,2019-02-13 06:43:24
250,500.0,31.08966435185185,500.0,0,25,17,2019-02-25 17:50:24
251,90.0,43.02665509259259,50.0,3,7,15,2019-03-07 15:44:09
252,100.0,0.0009606481481481482,100.0,6,20,9,2019-01-20 09:17:38
253,1000.0,6.5660185185185185,1000.0,0,18,7,2019-03-18 07:06:39
254,100.0,5.971238425925926,100.0,4,15,16,2019-02-15 16:53:28
255,200.0,0.015011574074074075,200.0,5,23,16,2019-03-23 16:55:40
256,100.0,13.760196759259259,200.0,3,7,10,2019-02-07 10:42:01
257,100.0,5.201956018518518,50.0,2,13,20,2019-02-13 20:09:48
258,50.0,1.9816203703703703,100.0,0,11,1,2019-02-11 01:29:24
259,45.0,5.994756944444444,45.0,0,4,15,2019-03-04 15:18:02
260,200.0,0.5227546296296296,500.0,1,26,16,2019-02-26 16:07:56
261,200.0,15.053541666666666,200.0,0,18,16,2019-03-18 16:41:59
262,36.0,5.091238425925926,50.0,2,13,20,2019-02-13 20:28:17
263,200.0,3.4538657407407407,500.0,0,11,16,2019-02-11 16:03:05
264,50.0,0.9812037037037037,10.0,4,1,10,2019-03-01 10:16:17
265,200.0,29.95202546296296,200.0,4,1,7,2019-02-01 07:33:40
266,50.0,0.4983912037037037,250.0,3,31,14,2019-01-31 14:38:15
267,200.0,0.5263310185185185,580.0,4,8,4,2019-03-08 04:52:45
268,10.0,2.443090277777778,20.0,0,25,16,2019-02-25 16:37:38
269,300.0,28.702638888888888,250.0,5,23,9,2019-02-23 09:28:59
270,100.0,34.76693287037037,200.0,2,13,15,2019-03-13 15:45:55
271,70.0,1.7144444444444444,40.0,0,21,4,2019-01-21 04:19:58
272,500.0,30.519108796296297,500.0,3,31,16,2019-01-31 16:38:16
273,200.0,34.93561342592593,200.0,3,21,18,2019-03-21 18:20:21
274,100.0,60.66121527777778,52.0,1,26,7,2019-03-26 07:01:52
275,30.0,50.121747685185184,100.0,4,15,14,2019-03-15 14:05:46
276,200.0,13.842847222222222,250.0,1,12,15,2019-02-12 15:13:33
277,52.0,4.370231481481482,79.0,2,27,14,2019-02-27 14:15:38
278,100.0,4.074641203703703,20.0,2,27,4,2019-02-27 04:54:01
279,500.0,1.1970717592592592,1500.0,1,12,12,2019-03-12 12:52:19
280,100.0,12.417002314814814,100.0,0,18,17,2019-02-18 17:10:32
281,20.0,4.935636574074074,20.0,0,18,15,2019-03-18 15:00:52
282,50.0,2.0110300925925926,50.0,0,4,16,2019-02-04 16:14:10
283,5.0,8.727430555555555,10.0,5,9,9,2019-02-09 09:19:27
284,50.0,54.493796296296296,100.0,0,25,19,2019-03-25 19:49:35
285,50.0,0.031516203703703706,50.0,2,20,17,2019-02-20 17:58:19
286,100.0,2.1525462962962965,100.0,0,4,17,2019-02-04 17:56:07
287,50.0,0.07168981481481482,50.0,4,4,17,2019-01-04 17:29:33
288,37.0,1.0011689814814815,6.0,1,29,16,2019-01-29 16:34:04
289,80.0,16.03240740740741,100.0,3,21,16,2019-03-21 16:35:54
290,50.0,10.066793981481482,100.0,5,2,18,2019-02-02 18:20:18
291,100.0,26.922233796296297,200.0,0,4,15,2019-02-04 15:50:05
292,20.0,0.3283449074074074,30.0,2,9,13,2019-01-09 13:36:00
293,100.0,21.967083333333335,50.0,5,2,16,2019-02-02 16:51:22
294,100.0,0.7281365740740741,100.0,0,11,5,2019-03-11 05:37:34
295,900.0,38.82556712962963,900.0,5,23,11,2019-03-23 11:36:13
296,100.0,15.028136574074074,100.0,2,13,15,2019-03-13 15:29:01
297,200.0,0.7181828703703703,10.0,3,24,12,2019-01-24 12:37:06
298,200.0,23.33246527777778,400.0,5,2,13,2019-03-02 13:41:34
299,480.0,2.694837962962963,470.0,4,1,7,2019-02-01 07:00:31
300,130.0,38.17383101851852,200.0,3,14,18,2019-03-14 18:00:52
301,100.0,18.18662037037037,100.0,4,25,13,2019-01-25 13:11:11
302,500.0,5.861284722222222,700.0,2,30,14,2019-01-30 14:35:23
303,100.0,1.3452777777777778,50.0,6,17,15,2019-03-17 15:22:57
304,50.0,0.3060300925925926,50.0,3,17,18,2019-01-17 18:12:31
305,100.0,7.712048611111111,100.0,1,26,10,2019-03-26 10:03:48
306,150.0,2.100347222222222,150.0,0,25,11,2019-03-25 11:45:09
307,10.0,0.4486689814814815,10.0,3,24,5,2019-01-24 05:33:22
308,200.0,9.633101851851851,500.0,6,27,8,2019-01-27 08:44:44
309,100.0,56.4125,200.0,2,6,4,2019-03-06 04:57:33
310,500.0,0.3572337962962963,500.0,4,22,2,2019-02-22 02:31:50
311,300.0,28.674756944444443,500.0,0,11,18,2019-03-11 18:25:07
312,50.0,13.677546296296295,50.0,0,11,7,2019-02-11 07:07:36
313,50.0,0.020092592592592592,50.0,4,22,16,2019-02-22 16:10:01
314,500.0,72.3255787037037,400.0,0,18,11,2019-03-18 11:32:51
315,50.0,5.907025462962963,50.0,2,6,6,2019-03-06 06:35:37
316,100.0,3.0238310185185187,30.0,6,3,16,2019-02-03 16:33:04
317,77.0,21.2028125,227.0,4,8,15,2019-02-08 15:35:40
318,20.0,10.515775462962964,80.0,4,15,16,2019-02-15 16:13:38
319,500.0,1.1381712962962962,480.0,4,15,9,2019-02-15 09:44:11
320,100.0,7.596689814814815,50.0,1,15,7,2019-01-15 07:52:16
321,200.0,12.770358796296296,200.0,2,20,12,2019-02-20 12:57:03
322,50.0,12.027164351851852,100.0,1,19,15,2019-03-19 15:37:54
323,200.0,16.27520833333333,170.0,5,2,11,2019-03-02 11:10:17
324,100.0,35.52642361111111,100.0,4,22,17,2019-02-22 17:35:57
325,5.0,0.006412037037037037,200.0,6,3,17,2019-03-03 17:16:18
326,200.0,0.006076388888888889,450.0,6,17,17,2019-03-17 17:06:01
327,100.0,0.047453703703703706,90.0,5,26,14,2019-01-26 14:03:52
328,100.0,0.008252314814814815,100.0,1,12,6,2019-02-12 06:45:53
329,50.0,7.9781712962962965,50.0,3,7,16,2019-02-07 16:27:40
330,250.0,27.69420138888889,225.0,1,5,6,2019-02-05 06:09:59
331,100.0,6.939409722222222,180.0,0,25,16,2019-03-25 16:29:17
332,50.0,51.767106481481484,500.0,3,21,6,2019-03-21 06:58:20
333,300.0,16.391886574074075,300.0,0,11,19,2019-02-11 19:10:53
334,50.0,12.135162037037038,100.0,4,22,15,2019-03-22 15:13:10
335,200.0,6.496284722222223,100.0,0,4,17,2019-03-04 17:17:09
336,200.0,11.156967592592592,200.0,4,1,12,2019-02-01 12:03:46
337,200.0,1.9897453703703705,100.0,2,13,20,2019-02-13 20:17:29
338,100.0,25.027453703703703,100.0,3,28,19,2019-02-28 19:22:23
339,200.0,1.9001388888888888,100.0,2,27,5,2019-02-27 05:57:21
340,200.0,52.60780092592593,100.0,5,9,3,2019-03-09 03:09:13
341,100.0,0.5715972222222222,100.0,2,30,6,2019-01-30 06:44:53
342,60.0,12.488680555555556,99.0,6,24,4,2019-02-24 04:20:24
343,200.0,18.091597222222223,200.0,5,2,19,2019-02-02 19:41:37
344,100.0,14.567407407407407,100.0,4,1,12,2019-03-01 12:01:44
345,10.0,50.38862268518518,5.0,4,15,13,2019-03-15 13:36:48
346,100.0,8.805706018518519,100.0,0,28,8,2019-01-28 08:23:58
347,2.0,0.008310185185185184,20.0,2,13,16,2019-02-13 16:58:40
348,120.0,39.00253472222222,200.0,6,24,15,2019-03-24 15:27:57
349,13.0,12.897465277777778,10.0,3,17,15,2019-01-17 15:38:38
350,50.0,0.0015162037037037036,100.0,4,4,16,2019-01-04 16:59:15
351,40.0,12.995324074074073,50.0,5,9,17,2019-02-09 17:39:03
352,10.0,1.115162037037037,10.0,3,3,12,2019-01-03 12:17:46
353,20.0,14.952488425925926,20.0,6,10,6,2019-02-10 06:08:31
354,100.0,20.331736111111113,450.0,6,17,17,2019-02-17 17:18:37
355,100.0,12.46730324074074,100.0,3,21,3,2019-03-21 03:59:35
356,20.0,1.635150462962963,20.0,0,21,4,2019-01-21 04:10:41
357,50.0,7.350613425925926,100.0,2,13,15,2019-03-13 15:20:47
358,10.0,10.221585648148148,12.0,4,22,16,2019-02-22 16:35:39
359,170.0,0.6114930555555556,450.0,2,27,5,2019-02-27 05:46:43
360,200.0,21.257291666666667,170.0,5,2,16,2019-02-02 16:44:56
361,30.0,14.206643518518518,40.0,4,8,23,2019-02-08 23:16:45
362,100.0,0.004733796296296297,100.0,6,3,7,2019-02-03 07:51:16
363,2.0,16.65337962962963,5.0,3,24,11,2019-01-24 11:32:56
364,50.0,5.615914351851852,100.0,0,28,7,2019-01-28 07:56:55
365,20.0,31.16474537037037,50.0,0,25,20,2019-03-25 20:23:13
366,100.0,19.43857638888889,400.0,4,22,16,2019-03-22 16:56:29
367,200.0,2.405775462962963,300.0,4,8,3,2019-02-08 03:11:24
368,100.0,1.2606944444444443,300.0,4,25,2,2019-01-25 02:32:04
369,100.0,38.10533564814815,100.0,3,7,18,2019-03-07 18:23:03
370,70.0,8.416099537037036,200.0,2,27,3,2019-02-27 03:27:10
371,300.0,36.91949074074074,200.0,3,21,17,2019-03-21 17:26:54
372,50.0,41.737430555555555,100.0,3,7,10,2019-03-07 10:59:55
